Word,Spelling,Explanation,Sentence,
挨拶する,あいさつする,打招呼(自III),隣の人に<あいさつした<。,
愛する,あいする,喜愛、珍愛(他I),かれがきみを<愛していた<。,
愛する,あいする,愛好、喜好(他I),父は旅（たび）を<あいしている<。,
合う,あう,(河流)匯聚、(視線)相遇(自I),花子の目と太郎のめが<合った<。,
合う,あう,(色調、口味、風格)合適、相配(自I),台湾料理はお口に<合いますか<。,
合う,あう,(尺寸、程度)相符(自I),この指輪（ゆびわ）が私の指に<あわなくなった<。,
合う,あう,一致、相符(自I),太郎の計算（けいさん）は答えに<合っている<。,
会う,あう,相遇、碰到(自I),花子は駅で友達と<会った<。,
会う,あう,見面、會見(自I),母は私をピアノの先生に<会わせた<。,
遭う,あう,遭遇到不好的事情(自I),太郎は交通事故（こうつうじこ）に<遭った<。,
上がる,あがる,位置低到高(自I),花子は一階から五階に<上がった<。,
上がる,あがる,(價格、程度、地位的)提升、上漲(自I),去年に比（くら）べると物価が<上がった<。,
開く,あく,(門窗抽屜等)打開(自I),ドアが風（かぜ）で<開いた<。,
開く,あく,睜(眼)、張(嘴)(自I),花子は口（くち）が大きく<開いている<。,
空く,あく,物體出現破洞(自I),洋（よう）服に穴（あな）が<空いている<。,
空く,あく,空中、騰出(自I),日曜日が<空きましたら<、一緒に映画を見に行きませんか。,
開ける,あける,(門窗書包皮包等)打開(他II),辞書の三十ページを<開けて<、手帳（てちょう）を取り出した。,
開ける,あける,開門營業(他II),そろそろ店（みせ）を<開けよう<。,
開ける,あける,睜(眼)、張(嘴)(他II),口（くち）を<開けて<、大きい声で歌いなさい。,
上げる,あげる,舉起、抬起(他II),問題のある人は手（て）を<あげて<ください。,
上げる,あげる,(價格、地位、數量)提升、增加(他II),危（あぶ）ないですから、スビートを<上げないで<ください。,
あげる,あげる,給(他II),太郎は花子に花を<あげます<。,
あげる,あげる,為了...做某事；幫...做某事(他II),太郎は花子に写真を撮って<あげた<。,
遊ぶ,あそぶ,玩耍、遊戲(自I),花子は子供と公園で<遊んで<いる。,
暖まる,あたたまる,(物體、場所)溫度提高、暖和(自I),暖房（だんぼう）で部屋が<暖まった<。,
温まる,あたたまる,心裡感到溫暖(自I),いつも心（こころ）<温まる<言葉（ことば）をあるがと。,
温まる,あたたまる,想法、計畫等的醞釀(他II),これは太郎の胸（むね）に五年ほど<温めて<きた作品（さくひん）です。,
集める,あつめる,聚集、召集(他II),校長（こうちょう）先生は学生を運動場に<集めた<。,
集める,あつめる,收集、匯集(他II),資金（しきん）を<集める<。,
浴びる,あびる,淋浴(他II),太郎は毎朝起きてから、シャワーを<浴びる<。,
浴びる,あびる,曬、照(他II),日差（ひざ）しを<浴びる<。,
余る,あまる,多餘、剩下(自I),毎月（つき）、<余った<お金（かね）を貯金（ちょきん）する。,
謝る,あやまる,道歉、認錯(自他I),自分のミスを<謝る<。,
洗う,あらう,沖洗(他I),水で野菜を<洗う<。,
洗う,あらう,調查、查清(他I),事件（じけん）のもとを<洗う<。,
ある,ある,(事物)存在、有(自I),北海道は日本の北に<ある<。,
ある,ある,(人)存在(自I),反対（はんたい）する人が<あったら<、この計画（けいかく）を再（さい）検討（けんとう）します。,
ある,ある,具有、擁有(自I),花子に銀行に預金（よきん）が五百万<ある<。,
ある,ある,有(長度、重量、時間)(自I),駅前まで距離（きょり）が三キロ<ある<。,
歩く,あるく,步行(自I),世界中を<あるく<。,
安心しする,あんしんする,安心、放心(自III),試験に合格（ごうかく）するまでに<あんしんできない<。,
案内する,あんないする,引導、導遊(他III),秘書（ひしょ）は客（きゃく）を会議室へ<案内した<。,
案内する,あんないする,通知、邀請(他III),私わ花子から結婚式に<案内されている<。,
アルバイトする,アルバイトする,打工、副業(自III),花子は<アルバイト<をしながら、大学を卒業した。,
言う,いう,說、講(自他I),そんなことは<いわなくても<、分かりますよ。,
言う,いう,稱謂、叫做(自他I),その山は富士山と<言います<。,
言う,いう,據說、傳聞(自他I),花子は来週日本へ帰ると<言う<。,
生きる,いきる,生存、活著(自II),恵理（えり）百歳まで<生きて<きた。,
生きる,いきる,生活(自II),太郎が子供の時から山に<生きている<。,
行く,いく,去、前往(自I),昨日（きのう）郵便局へ<行った<。,
行く,いく,為做某件事而前往...(自I),私は日本へ留学に<行く<。,
急ぐ,いそぐ,急著、趕緊(自I),じかんがないので、<急いで<ください。,
急ぐ,いそぐ,趕路、急著去某地(自I),会社へ<急いで<いる。,
致す,いたす,做某動作(他I),早速（さっそく）先生にご連絡（れんらく）<致します<。,
頂く,いただく,受領、拜領(他I),ご返事（へんじ）を<頂きたい<です。,
頂く,いただく,吃喝(他I),たくさん<頂きました<。,
頂く,いただく,請對方做某事(他I),窓（まど）閉（し）めて<頂きませんか<。,
いらっしゃる,いらっしゃる,在(自I),太郎が<いらっしゃいます<か。,
いらっしゃる,いらっしゃる,來、去(自I),歩いて公園へ<いらっしゃいますか<。,
居る,いる,(人、動物)位在、存在(自II),花子は教室に<居る<。,
居る,いる,居住(自II),両親は海外（かいがい）に<居る<。,
要る,いる,需要(自I),ご心配は<要りません<。,
要る,いる,必須(自I),その仕事には冷静（れいせい）に行動（こうどう）する人が<要る<。,
入れる,いれる,放入、裝進(他II),カバンに財布（さいふ）<入れる<。,
入れる,いれる,開電源(他II),テレビのスイッチを<入れます<。,
祝う,いわう,慶祝、祝賀(他I),新年を<祝う<。,
受け取る,うけとる,接收、領收、收到(他I),指示を<受け取ったら<連絡（れんらく）する。,
受け取る,うけとる,接受、理解(他I),先生の言葉（ことば）を間違（まちが）って<受け取れない<。,
受ける,うける,接(他II),朝日を<受ける<。,
受ける,うける,承受、接受(他II),優勝賞（ゆうしょうしょう）を<受ける<。,
動かす,うごかす,搖動、晃動(他I),体（からだ）を<動かす<。,
動かす,うごかす,機器等的操縱、轉動(他I),車を<動かす<。,
動かす,うごかす,移動(他I),この机（つくえ）を別（べつ）教室へ<動かして<ください。,
動く,うごく,移動、搖動(自I),雲（くも）が<動いた<。,
動く,うごく,(機器)轉動、運轉(自I),時計が<動く<。,
歌う,うたう,唱歌(他I),日本語で<歌う<。,
打つ,うつ,毆打、敲(他I),肩（かた）を<打つ<。,
生まれる,うまれる,出生、誕生(自II),子犬が四匹（びき）<生まれた<。,
生まれる,うまれる,產生、出現(自II),利益（りえき）が<生まれら<。,
売る,うる,賣、販售(他I),太郎は友達に車を二十万円<売った<。,
運転する,うんてんする,駕駛(自他III),花子はトラックを<運転する<ことができる。,
運動する,うんどうする,運動(自III),私は毎朝<運動する<。,
描く,えがく,畫圖(他I),水彩（すいさい）で花を<描く<。,
選ぶ,えらぶ,挑選(他I),仕事を<選ぶ<。,
選ぶ,えらぶ,偏好(他I),私はコーヒーよりミルクを<選ぶ<。,
選ぶ,えらぶ,選舉(他I),彼はグループのリーダーに<選ばれた<。,
遠慮する,えんりょする,客氣；不要做某事(自他III),車内（しゃない）の喫煙（きつえん）はご<遠慮<ください。,
起きる,おきる,起床、醒來(自II),毎朝六時に<起きる<。,
起きる,おきる,發生某件事(自II),日本に辞書（じしん）が<起きた<。,
置く,おく,放置、耽擱(他I),果物を冷蔵庫に<置いてください<。,
置く,おく,保存(他I),この種（しゅ）のワインは長く<置けます<。,
置く,おく,留下(他I),荷物をホテルに<置いて<駅に来た。,
送る,おくる,郵寄(他I),花子は東京へ荷物を<送る<。,
送る,おくる,送行(他I),車で空港まで友達を<送る<。,
遅れる,おくれる,遲到、耽誤(自II),結婚式は予定より三十分<遅れて<始まった。,
起こす,おこす,叫醒(他I),明日六時に<起こしてください<。,
起こす,おこす,引起、發生(他I),不満（ふまん）を<起こす<。,
行う,おこなう,舉行、進行(他I),結婚式がホテルで<行う<。,
行う,おこなう,做(他I),三思（し）して後（のち）<行う<。,
怒る,おこる,生氣、發火(自I),花子はよくまらないこと<怒る<。,
怒る,おこる,斥責(自I),テレビを壊して父に<怒られた<。,
起こる,おこる,發生、產生(自I),昨日Taipeiで火事（かじ）が<起こった<。,
起こる,おこる,因...造成(自I),それはすべて彼の誤解（ごかい）から<起こった<。,
起こる,おこる,發病、產生症狀(自I),心臓（しんぞう）が<起こった<。,
教える,おしえる,教、傳授(他II),太郎は皆（みな）に日本語を<教える<。,
教える,おしえる,告訴、指點(他II),電話番号を<教えてください<。,
押す,おす,推、押按(他I),ボタンを<押す<と、チケットを取ってください。,
押す,おす,蓋章、用印(他I),手帳（てちょう）に記念（きねん）スタンプを<押す<。,
落ちる,おちる,落下、墜落(自II),ボタンが<落ちた<。,
落ちる,おちる,沒考上、落選(自II),大学試験に<落ちた<。,
おっしゃる,おっしゃる,說、演講(自I),ご意見（いけん）を<おっしゃって<ください。,
おっしゃる,おっしゃる,稱為、叫做(自I),お名前（なまえ）はなんと<おっしゃいます<か。,
落とす,おとす,使...落下、扔下(他I),帽子を<落とした<。,
落とす,おとす,落選、淘汰(他I),先生は六十点以下（いか）の学生を<落とす<。,
